OrderID,OrderDate,SalesPersonID,AreaID,ProductID,Quantity,UnitPrice,SalesAmount
O293,4/25/2018,S008,A003,P005,6,53.00,318.00
O294,4/26/2018,S009,A004,P006,1,120.00,120.00
O295,4/26/2018,S010,A005,P007,6,234.51,1407.06
O296,4/26/2018,S011,A006,P008,10,234.20,2342.00
O297,4/26/2018,S012,A007,P009,8,634.00,5072.00
O298,4/27/2018,S013,A008,P010,4,521.00,2084.00
O299,4/27/2018,S014,A009,P011,8,533.00,4264.00
O300,4/28/2018,S015,A010,P012,7,51.00,357.00
O301,4/28/2018,S001,A001,P001,11,100.00,1100.00
O302,4/29/2018,S002,A002,P002,4,200.00,800.00
O303,4/29/2018,S003,A003,P003,3,250.00,750.00
O304,4/29/2018,S004,A004,P004,3,310.45,931.35
O305,4/29/2018,S005,A005,P005,8,53.00,424.00
O306,4/30/2018,S006,A006,P006,12,120.00,1440.00
O307,4/30/2018,S007,A007,P007,5,234.51,1172.55
O308,4/30/2018,S008,A008,P008,8,234.20,1873.60
O309,4/30/2018,S009,A009,P009,12,634.00,7608.00
O310,4/30/2018,S010,A010,P010,5,521.00,2605.00
O311,5/1/2018,S011,A001,P011,6,533.00,3198.00
O312,5/1/2018,S012,A002,P012,8,51.00,408.00
O313,5/1/2018,S013,A003,P001,1,100.00,100.00
O314,5/2/2018,S014,A004,P002,2,200.00,400.00
O315,5/2/2018,S015,A005,P003,5,250.00,1250.00
O316,5/2/2018,S001,A006,P004,11,310.45,3414.95
O317,5/2/2018,S002,A007,P005,8,53.00,424.00
O318,5/3/2018,S003,A008,P006,11,120.00,1320.00
O319,5/3/2018,S004,A009,P007,2,234.51,469.02
O320,5/3/2018,S005,A010,P008,6,234.20,1405.20
O321,5/4/2018,S006,A001,P009,12,634.00,7608.00
O322,5/5/2018,S007,A002,P010,11,521.00,5731.00
O323,5/5/2018,S008,A003,P011,10,533.00,5330.00
O324,5/6/2018,S009,A004,P012,12,51.00,612.00
O325,5/6/2018,S010,A005,P001,11,100.00,1100.00
O326,5/6/2018,S011,A006,P002,1,200.00,200.00
O327,5/7/2018,S012,A007,P003,6,250.00,1500.00
O328,5/7/2018,S013,A008,P004,2,310.45,620.90
O329,5/8/2018,S014,A009,P005,7,53.00,371.00
O330,5/8/2018,S015,A010,P006,9,120.00,1080.00
O331,5/8/2018,S001,A001,P007,9,234.51,2110.59
O332,5/8/2018,S002,A002,P008,3,234.20,702.60
O333,5/9/2018,S003,A003,P009,12,634.00,7608.00
O334,5/10/2018,S004,A004,P010,12,521.00,6252.00
O335,5/11/2018,S005,A005,P011,10,533.00,5330.00
O336,5/11/2018,S006,A006,P012,6,51.00,306.00
O337,5/12/2018,S007,A007,P001,12,100.00,1200.00
O338,5/12/2018,S008,A008,P002,10,200.00,2000.00
O339,5/12/2018,S009,A009,P003,12,250.00,3000.00
O340,5/12/2018,S010,A010,P004,5,310.45,1552.25
O341,5/13/2018,S011,A001,P005,8,53.00,424.00
O342,5/14/2018,S012,A002,P006,3,120.00,360.00
O343,5/14/2018,S013,A003,P007,11,234.51,2579.61
O344,5/14/2018,S014,A004,P008,8,234.20,1873.60
O345,5/15/2018,S015,A005,P009,10,634.00,6340.00
O346,5/15/2018,S001,A006,P010,1,521.00,521.00
O347,5/15/2018,S002,A007,P011,5,533.00,2665.00
O348,5/15/2018,S003,A008,P012,12,51.00,612.00
O349,5/17/2018,S004,A009,P001,12,100.00,1200.00
O350,5/18/2018,S005,A010,P002,11,200.00,2200.00
O351,5/18/2018,S006,A001,P003,8,250.00,2000.00
O352,5/19/2018,S007,A002,P004,9,310.45,2794.05
O353,5/19/2018,S008,A003,P005,6,53.00,318.00
O354,5/19/2018,S009,A004,P006,3,120.00,360.00
O355,5/19/2018,S010,A005,P007,4,234.51,938.04
O356,5/20/2018,S011,A006,P008,11,234.20,2576.20
O357,5/20/2018,S012,A007,P009,1,634.00,634.00
O358,5/21/2018,S013,A008,P010,2,521.00,1042.00
O359,5/21/2018,S014,A009,P011,3,533.00,1599.00
O360,5/21/2018,S015,A010,P012,7,51.00,357.00
O361,5/22/2018,S001,A001,P001,8,100.00,800.00
O362,5/22/2018,S002,A002,P002,10,200.00,2000.00
O363,5/22/2018,S003,A003,P003,1,250.00,250.00
O364,5/23/2018,S004,A004,P004,5,310.45,1552.25
O365,5/24/2018,S005,A005,P005,7,53.00,371.00
O366,5/25/2018,S006,A006,P006,2,120.00,240.00
O367,5/25/2018,S007,A007,P007,2,234.51,469.02
O368,5/25/2018,S008,A008,P008,3,234.20,702.60
O369,5/25/2018,S009,A009,P009,9,634.00,5706.00
O370,5/25/2018,S010,A010,P010,4,521.00,2084.00
O371,5/26/2018,S011,A001,P011,9,533.00,4797.00
O372,5/27/2018,S012,A002,P012,8,51.00,408.00
O373,5/27/2018,S013,A003,P001,12,100.00,1200.00
O374,5/28/2018,S014,A004,P002,12,200.00,2400.00
O375,5/28/2018,S015,A005,P003,10,250.00,2500.00
O376,5/29/2018,S001,A006,P004,5,310.45,1552.25
O377,5/29/2018,S002,A007,P005,1,53.00,53.00
O378,5/30/2018,S003,A008,P006,8,120.00,960.00
O379,5/30/2018,S004,A009,P007,5,234.51,1172.55
O380,5/30/2018,S005,A010,P008,9,234.20,2107.80
O381,5/31/2018,S006,A001,P009,8,634.00,5072.00
O382,5/31/2018,S007,A002,P010,5,521.00,2605.00
O383,5/31/2018,S008,A003,P011,8,533.00,4264.00
O384,5/31/2018,S009,A004,P012,2,51.00,102.00
O385,6/1/2018,S010,A005,P001,1,100.00,100.00
O386,6/1/2018,S011,A006,P002,3,200.00,600.00
O387,6/1/2018,S012,A007,P003,5,250.00,1250.00
O388,6/2/2018,S013,A008,P004,9,310.45,2794.05
O389,6/2/2018,S014,A009,P005,11,53.00,583.00
O390,6/2/2018,S015,A010,P006,10,120.00,1200.00
O391,6/2/2018,S001,A001,P007,7,234.51,1641.57
O392,6/3/2018,S002,A002,P008,10,234.20,2342.00
O393,6/3/2018,S003,A003,P009,11,634.00,6974.00
O394,6/3/2018,S004,A004,P010,5,521.00,2605.00
O395,6/4/2018,S005,A005,P011,10,533.00,5330.00
O396,6/5/2018,S006,A006,P012,7,51.00,357.00
O397,6/5/2018,S007,A007,P001,6,100.00,600.00
O398,6/6/2018,S008,A008,P002,8,200.00,1600.00
O399,6/7/2018,S009,A009,P003,3,250.00,750.00
O400,6/7/2018,S010,A010,P004,7,310.45,2173.15
O401,6/7/2018,S011,A001,P005,7,53.00,371.00
O402,6/7/2018,S012,A002,P006,3,120.00,360.00
O403,6/8/2018,S013,A003,P007,6,234.51,1407.06
O404,6/8/2018,S014,A004,P008,6,234.20,1405.20
O405,6/8/2018,S015,A005,P009,5,634.00,3170.00
O406,6/8/2018,S001,A006,P010,11,521.00,5731.00
O407,6/9/2018,S002,A007,P011,8,533.00,4264.00
O408,6/9/2018,S003,A008,P012,6,51.00,306.00
O409,6/9/2018,S004,A009,P001,3,100.00,300.00
O410,6/10/2018,S005,A010,P002,10,200.00,2000.00
O411,6/10/2018,S006,A001,P003,6,250.00,1500.00
O412,6/11/2018,S007,A002,P004,4,310.45,1241.80
O413,6/12/2018,S008,A003,P005,2,53.00,106.00
O414,6/13/2018,S009,A004,P006,8,120.00,960.00
O415,6/13/2018,S010,A005,P007,6,234.51,1407.06
O416,6/14/2018,S011,A006,P008,4,234.20,936.80
O417,6/14/2018,S012,A007,P009,8,634.00,5072.00
O418,6/14/2018,S013,A008,P010,2,521.00,1042.00
O419,6/14/2018,S014,A009,P011,2,533.00,1066.00
O420,6/14/2018,S015,A010,P012,1,51.00,51.00
O421,6/15/2018,S001,A001,P001,5,100.00,500.00
O422,6/15/2018,S002,A002,P002,5,200.00,1000.00
O423,6/16/2018,S003,A003,P003,2,250.00,500.00
O424,6/16/2018,S004,A004,P004,10,310.45,3104.50
O425,6/16/2018,S005,A005,P005,2,53.00,106.00
O426,6/17/2018,S006,A006,P006,10,120.00,1200.00
O427,6/17/2018,S007,A007,P007,6,234.51,1407.06
O428,6/17/2018,S008,A008,P008,4,234.20,936.80
O429,6/17/2018,S009,A009,P009,4,634.00,2536.00
O430,6/18/2018,S010,A010,P010,2,521.00,1042.00
O431,6/18/2018,S011,A001,P011,3,533.00,1599.00
O432,6/19/2018,S012,A002,P012,2,51.00,102.00
O433,6/19/2018,S013,A003,P001,5,100.00,500.00
O434,6/19/2018,S014,A004,P002,11,200.00,2200.00
O435,6/20/2018,S015,A005,P003,12,250.00,3000.00
O436,6/20/2018,S001,A006,P004,7,310.45,2173.15
O437,6/20/2018,S002,A007,P005,6,53.00,318.00
O438,6/21/2018,S003,A008,P006,6,120.00,720.00
O439,6/21/2018,S004,A009,P007,4,234.51,938.04
O440,6/21/2018,S005,A010,P008,9,234.20,2107.80
O441,6/21/2018,S006,A001,P009,6,634.00,3804.00
O442,6/22/2018,S007,A002,P010,9,521.00,4689.00
O443,6/22/2018,S008,A003,P011,10,533.00,5330.00
O444,6/23/2018,S009,A004,P012,10,51.00,510.00
O445,6/23/2018,S010,A005,P001,11,100.00,1100.00
O446,6/23/2018,S011,A006,P002,4,200.00,800.00
O447,6/24/2018,S012,A007,P003,5,250.00,1250.00
O448,6/24/2018,S013,A008,P004,11,310.45,3414.95
O449,6/24/2018,S014,A009,P005,12,53.00,636.00
O450,6/24/2018,S015,A010,P006,11,120.00,1320.00
O451,6/25/2018,S001,A001,P007,12,234.51,2814.12
O452,6/25/2018,S002,A002,P008,8,234.20,1873.60
O453,6/25/2018,S003,A003,P009,10,634.00,6340.00
O454,6/26/2018,S004,A004,P010,4,521.00,2084.00
O455,6/26/2018,S005,A005,P011,6,533.00,3198.00
O456,6/26/2018,S006,A006,P012,9,51.00,459.00
O457,6/27/2018,S007,A007,P001,4,100.00,400.00
O458,6/27/2018,S008,A008,P002,5,200.00,1000.00
O459,6/28/2018,S009,A009,P003,9,250.00,2250.00
O460,6/29/2018,S010,A010,P004,12,310.45,3725.40
O461,6/29/2018,S011,A001,P005,9,53.00,477.00
O462,6/30/2018,S012,A002,P006,5,120.00,600.00
O463,7/1/2018,S013,A003,P007,1,234.51,234.51
O464,7/1/2018,S014,A004,P008,1,234.20,234.20
O465,7/2/2018,S015,A005,P009,5,634.00,3170.00
O466,7/3/2018,S001,A006,P010,5,521.00,2605.00
O467,7/3/2018,S002,A007,P011,2,533.00,1066.00
O468,7/4/2018,S003,A008,P012,11,51.00,561.00
O469,7/4/2018,S004,A009,P001,4,100.00,400.00
O470,7/4/2018,S005,A010,P002,9,200.00,1800.00
